time, Quad.Est.E.Yaw, Quad.Est.E.Pitch, Quad.Est.E.Roll
0.634995,0.000003,-0.001643,-0.000064
0.639995,0.000004,-0.001559,-0.000036
0.644995,0.000005,-0.001409,-0.000007
0.649995,0.000005,-0.001312,0.000017
0.654995,0.000003,-0.001164,0.000057
0.659995,0.000000,-0.001069,0.000082
0.664995,-0.000004,-0.000927,0.000090
0.669995,-0.000006,-0.000836,0.000078
0.674995,-0.000008,-0.000682,0.000060
0.679995,-0.000008,-0.000571,0.000041
0.684995,-0.000008,-0.000408,0.000019
0.689995,-0.000008,-0.000289,0.000006
0.694995,-0.000010,-0.000146,-0.000023
0.699995,-0.000012,-0.000082,-0.000054
0.704994,-0.000016,0.000009,-0.000063
0.709994,-0.000018,0.000069,-0.000049
0.714994,-0.000020,0.000142,-0.000027
0.719994,-0.000022,0.000177,-0.000026
0.724994,-0.000024,0.000210,0.000001
0.729994,-0.000024,0.000232,0.000037
0.734994,-0.000023,0.000258,0.000081
0.739994,-0.000022,0.000295,0.000077
0.744994,-0.000021,0.000359,0.000054
0.749994,-0.000020,0.000406,0.000033
0.754994,-0.000019,0.000490,0.000011
0.759994,-0.000018,0.000557,-0.000002
0.764994,-0.000017,0.000640,-0.000030
0.769994,-0.000018,0.000688,-0.000037
0.774994,-0.000018,0.000745,-0.000032
0.779994,-0.000019,0.000777,-0.000021
0.784993,-0.000020,0.000811,0.000003
0.789993,-0.000020,0.000844,0.000019
0.794993,-0.000020,0.000875,0.000043
0.799993,-0.000020,0.000900,0.000063
0.804993,-0.000019,0.000913,0.000088
0.809993,-0.000019,0.000913,0.000091
0.814993,-0.000018,0.000901,0.000071
0.819993,-0.000017,0.000882,0.000068
0.824993,-0.000015,0.000869,0.000069
0.829993,-0.000016,0.000844,0.000067
0.834993,-0.000017,0.000810,0.000047
0.839993,-0.000018,0.000790,0.000044
0.844993,-0.000019,0.000788,0.000056
0.849993,-0.000019,0.000799,0.000053
0.854993,-0.000019,0.000825,0.000030
0.859993,-0.000019,0.000826,0.000002
0.864992,-0.000020,0.000811,-0.000020
0.869992,-0.000020,0.000807,-0.000031
0.874992,-0.000020,0.000793,-0.000039
0.879992,-0.000021,0.000792,-0.000046
0.884992,-0.000022,0.000803,-0.000049
0.889992,-0.000023,0.000809,-0.000056
0.894992,-0.000024,0.000805,-0.000062
0.899992,-0.000026,0.000798,-0.000070
0.904992,-0.000026,0.000784,-0.000078
0.909992,-0.000026,0.000775,-0.000172
0.914992,-0.000027,0.000761,-0.000534
0.919992,-0.000028,0.000745,-0.000954
0.924992,-0.000033,0.000683,-0.001945
0.929992,-0.000038,0.000657,-0.002815
0.934992,-0.000047,0.000636,-0.004363
0.939991,-0.000056,0.000605,-0.005525
0.944991,-0.000070,0.000551,-0.007390
0.949991,-0.000079,0.000515,-0.008636
0.954991,-0.000092,0.000465,-0.010310
0.959991,-0.000099,0.000429,-0.011161
0.964991,-0.000101,0.000364,-0.011944
0.969991,-0.000102,0.000327,-0.012136
0.974991,-0.000099,0.000274,-0.011951
0.979991,-0.000102,0.000258,-0.011572
0.984991,-0.000110,0.000251,-0.010730
0.989991,-0.000117,0.000254,-0.010040
0.994991,-0.000140,0.000281,-0.008906
0.999991,-0.000162,0.000313,-0.008129
1.004991,-0.000196,0.000358,-0.006997
1.009991,-0.000218,0.000382,-0.006298
1.014991,-0.000238,0.000392,-0.005409
1.019992,-0.000243,0.000389,-0.004922
1.024992,-0.000248,0.000382,-0.004343
1.029992,-0.000240,0.000358,-0.004061
1.034992,-0.000222,0.000315,-0.003766
1.039993,-0.000205,0.000282,-0.003616
1.044993,-0.000172,0.000227,-0.003194
1.049993,-0.000149,0.000189,-0.002666
1.054993,-0.000120,0.000141,-0.001431
1.059994,-0.000100,0.000112,-0.000332
1.064994,-0.000074,0.000076,0.001678
1.069994,-0.000066,0.000062,0.003209
1.074994,-0.000055,0.000048,0.005684
1.079994,-0.000048,0.000039,0.007415
1.084995,-0.000046,0.000039,0.010064
1.089995,-0.000046,0.000040,0.011822
1.094995,-0.000045,0.000040,0.014404
1.099995,-0.000045,0.000044,0.016064
1.104996,-0.000059,0.000105,0.018341
1.109996,-0.000066,0.000164,0.019498
1.114996,-0.000063,0.000270,0.020480
1.119996,-0.000053,0.000340,0.020590
1.124997,-0.000022,0.000427,0.020093
1.129997,0.000005,0.000479,0.019421
1.134997,0.000049,0.000525,0.018001
1.139997,0.000079,0.000549,0.016859
1.144997,0.000127,0.000585,0.014963
1.149998,0.000157,0.000601,0.013657
1.154998,0.000193,0.000604,0.011690
1.159998,0.000208,0.000590,0.010390
1.164998,0.000215,0.000537,0.008517
1.169999,0.000199,0.000459,0.007378
1.174999,0.000159,0.000327,0.005902
1.179999,0.000126,0.000239,0.005102
1.184999,0.000073,0.000117,0.004176
1.190000,0.000049,0.000065,0.003739
1.195000,0.000016,0.000002,0.003341
1.200000,-0.000011,-0.000048,0.003210
1.205000,-0.000044,-0.000105,0.003183
1.210001,-0.000057,-0.000126,0.003219
1.215001,-0.000083,-0.000165,0.003292
1.220001,-0.000095,-0.000185,0.003323
1.225001,-0.000098,-0.000193,0.003285
1.230001,-0.000098,-0.000194,0.003165
1.235002,-0.000089,-0.000180,0.002806
1.240002,-0.000080,-0.000166,0.002447
1.245002,-0.000055,-0.000129,0.001744
1.250002,-0.000034,-0.000100,0.001183
1.255003,-0.000026,-0.000087,0.000239
1.260003,-0.000027,-0.000088,-0.000426
1.265003,-0.000028,-0.000091,-0.001425
1.270003,-0.000023,-0.000084,-0.002054
1.275004,-0.000019,-0.000080,-0.002895
1.280004,-0.000019,-0.000082,-0.003360
1.285004,-0.000024,-0.000089,-0.003953
1.290004,-0.000034,-0.000106,-0.004299
1.295004,-0.000038,-0.000116,-0.004715
1.300005,-0.000032,-0.000108,-0.004918
1.305005,-0.000019,-0.000088,-0.005111
1.310005,-0.000014,-0.000077,-0.005201
1.315005,-0.000026,-0.000097,-0.005254
1.320006,-0.000039,-0.000124,-0.005250
1.325006,-0.000059,-0.000166,-0.005196
1.330006,-0.000067,-0.000183,-0.005156
